callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
AZO298,nan,155c21,nan,nan,nan,UUWW,2022-02-01 07:40:21+00:00,2022-02-01 08:42:53+00:00,2022-02-01 00:00:00+00:00,57.64852232852224,29.46666102255545,6400.8,55.64433288574219,37.30174671519886,609.6
SDM6527,nan,155c2a,nan,nan,UUEE,LBSF,2022-02-01 07:50:21+00:00,2022-02-01 10:39:28+00:00,2022-02-01 00:00:00+00:00,55.96784688658633,37.38132476806641,609.6,42.69631595934852,23.41798116994459,nan
RWZ1305,nan,155c32,nan,nan,UWWW,nan,2022-02-01 07:53:13+00:00,2022-02-01 09:03:57+00:00,2022-02-01 00:00:00+00:00,53.41496871689618,50.29112871955422,1828.8,57.29374772411281,64.48513892389113,3489.96
AZO435,nan,155c30,nan,nan,UUWW,nan,2022-02-01 07:54:31+00:00,2022-02-01 08:10:19+00:00,2022-02-01 00:00:00+00:00,55.57354943226959,37.24176406860352,609.6,54.26271057128906,37.96961321149554,9867.9
RWZ1506,nan,155c38,nan,nan,nan,nan,2022-02-01 07:59:00+00:00,2022-02-01 08:26:28+00:00,2022-02-01 00:00:00+00:00,58.41886875993114,60.04129028320312,10972.8,56.71966552734375,55.22097587585449,10980.42
LLM211,YC211,155c00,nan,nan,USSS,nan,2022-02-01 08:06:13+00:00,2022-02-01 08:24:25+00:00,2022-02-01 00:00:00+00:00,56.8212890625,60.97917126071069,1524.0,58.48054504394531,63.38597451486896,10668.0
SDM6507,nan,155bb9,RA-89017,SU95,UUEE,nan,2022-02-01 08:06:57+00:00,2022-02-01 08:36:55+00:00,2022-02-01 00:00:00+00:00,55.97138485666049,37.39668846130371,304.8,53.73440551757812,39.32548304966518,10668.0
AZO131,nan,155c5b,nan,nan,nan,nan,2022-02-01 08:15:45+00:00,2022-02-01 08:48:22+00:00,2022-02-01 00:00:00+00:00,50.8385009765625,46.8425853832348,10668.0,53.51896641618114,52.59882309857537,10668.0
SDM6304,nan,155c57,nan,nan,nan,ULLI,2022-02-01 08:16:05+00:00,2022-02-01 09:16:34+00:00,2022-02-01 00:00:00+00:00,62.66624450683594,35.4534912109375,9753.6,59.80375128277277,30.19213446255388,289.56
SDM6086,nan,155bd3,RA-89043,SU95,nan,UUEE,2022-02-01 08:20:34+00:00,2022-02-01 08:56:59+00:00,2022-02-01 00:00:00+00:00,53.54796846034163,39.49197208180147,10363.2,55.98751831054688,37.5054931640625,601.98
SDM6466,nan,155c24,nan,nan,nan,UUEE,2022-02-01 08:28:17+00:00,2022-02-01 09:03:47+00:00,2022-02-01 00:00:00+00:00,53.07009887695312,37.65731811523438,9753.6,56.01058184090307,37.52723693847656,899.1600000000001
SUM9627,nan,152c2d,RA-76845,IL76,UUBW,nan,2022-02-01 08:31:11+00:00,2022-02-01 08:45:28+00:00,2022-02-01 00:00:00+00:00,55.53359985351562,38.18789395419034,304.8,54.3582567117982,38.2404951615767,7421.88
RWZ784,nan,155c60,nan,nan,nan,ULLI,2022-02-01 08:32:18+00:00,2022-02-01 10:29:17+00:00,2022-02-01 00:00:00+00:00,51.72660827636719,46.09996898754223,914.4,59.80123746193061,30.2093716325431,236.22
SDM6429,nan,155c26,nan,nan,UUEE,nan,2022-02-01 08:33:40+00:00,2022-02-01 08:57:28+00:00,2022-02-01 00:00:00+00:00,55.9677537821107,37.37634658813477,609.6,53.95230102539062,38.4202880859375,10668.0
RWZ390,nan,155c34,nan,nan,nan,UUDD,2022-02-01 08:39:31+00:00,2022-02-01 09:28:50+00:00,2022-02-01 00:00:00+00:00,53.91386904958951,44.7717913459329,5486.400000000001,55.25918217028602,38.06587912819602,1280.16
IAE411,nan,155bca,RA-89034,SU95,nan,UIII,2022-02-01 08:41:41+00:00,2022-02-01 09:08:23+00:00,2022-02-01 00:00:00+00:00,54.48623657226562,105.3554938821232,10972.8,52.26317324880826,104.4095894949777,350.52
SDM6294,nan,155c2d,nan,nan,nan,UUEE,2022-02-01 08:43:00+00:00,2022-02-01 10:20:19+00:00,2022-02-01 00:00:00+00:00,54.46018981933594,53.35914163028492,10972.8,56.00212097167969,37.47045343572443,685.8000000000001
VDA5705,nan,15407c,RA-82044,A124,EKBI,UWLW,2022-02-01 08:44:26+00:00,2022-02-01 12:11:18+00:00,2022-02-01 00:00:00+00:00,55.73955471232786,9.129037857055664,304.8,54.44763700840836,48.85187322443181,342.9
RSD076,nan,14fc09,RA-64521,T214,nan,UUWW,2022-02-01 08:51:37+00:00,2022-02-01 10:05:45+00:00,2022-02-01 00:00:00+00:00,54.41477966308594,47.61426140280331,5486.400000000001,55.65966796875,37.31314919211648,723.9000000000001
